order_id;date;item_name;item_type;item_price;quantity;transaction_amount;transaction_type;received_by;time_of_sale;day_of_week;mes_ano;month_year
50;2/11/22;vadapav;Fastfood;20;8;160;Cash;Mrs.;Midnight;Wednesday;2022-11;2022-11
51;16/5/22;frankie;Fastfood;50;15;750;Online;Mrs.;Morning;Monday;2022-05;2022-05
52;16/3/23;sugarcane juice;Beverages;25;12;300;Cash;Mrs.;Midnight;Thursday;2023-03;2023-03
53;26/7/22;aalopuri;Fastfood;20;13;260;Cash;Mr.;Afternoon;Tuesday;2022-07;2022-07
54;28/12/22;panipuri;Fastfood;20;14;280;Online;Mrs.;Morning;Wednesday;2022-12;2022-12
55;7/5/22;sandwich;Fastfood;60;10;600;Cash;Mr.;Night;Saturday;2022-05;2022-05
56;23/11/22;panipuri;Fastfood;20;11;220;Cash;Mrs.;Midnight;Wednesday;2022-11;2022-11
57;4/8/22;panipuri;Fastfood;20;14;280;Online;Mrs.;Morning;Thursday;2022-08;2022-08
58;3/2/23;vadapav;Fastfood;20;6;120;Online;Mrs.;Morning;Friday;2023-02;2023-02
59;1/7/22;vadapav;Fastfood;20;5;100;Cash;Mr.;Morning;Friday;2022-07;2022-07
60;11/6/22;cold coffee;Beverages;40;2;80;Online;Mr.;Night;Saturday;2022-06;2022-06
61;25/12/22;vadapav;Fastfood;20;14;280;Cash;Mrs.;Afternoon;Sunday;2022-12;2022-12
62;17/10/22;sugarcane juice;Beverages;25;3;75;Cash;Mr.;Afternoon;Monday;2022-10;2022-10
63;1/12/22;sandwich;Fastfood;60;7;420;Online;Mrs.;Morning;Thursday;2022-12;2022-12
64;9/12/22;cold coffee;Beverages;40;1;40;Cash;Mr.;Morning;Friday;2022-12;2022-12
65;25/7/22;aalopuri;Fastfood;20;4;80;Cash;Mr.;Morning;Monday;2022-07;2022-07
66;5/4/22;frankie;Fastfood;50;2;100;Cash;Mrs.;Morning;Tuesday;2022-04;2022-04
67;15/5/22;aalopuri;Fastfood;20;9;180;Cash;Mr.;Midnight;Sunday;2022-05;2022-05
68;17/12/22;cold coffee;Beverages;40;2;80;Cash;Mr.;Night;Saturday;2022-12;2022-12
69;10/1/23;vadapav;Fastfood;20;7;140;Cash;Mr.;Midnight;Tuesday;2023-01;2023-01
70;9/5/22;cold coffee;Beverages;40;14;560;Cash;Mrs.;Morning;Monday;2022-05;2022-05
71;5/12/22;cold coffee;Beverages;40;6;240;Online;Mr.;Night;Monday;2022-12;2022-12
72;9/3/23;frankie;Fastfood;50;13;650;Online;Mr.;Afternoon;Thursday;2023-03;2023-03
73;29/7/22;panipuri;Fastfood;20;5;100;Cash;Mr.;Midnight;Friday;2022-07;2022-07
74;15/8/22;cold coffee;Beverages;40;10;400;Online;Mrs.;Evening;Monday;2022-08;2022-08
75;2/2/23;cold coffee;Beverages;40;6;240;Online;Mrs.;Afternoon;Thursday;2023-02;2023-02
76;17/8/22;vadapav;Fastfood;20;9;180;Online;Mr.;Morning;Wednesday;2022-08;2022-08
77;4/2/23;sugarcane juice;Beverages;25;12;300;Cash;Mrs.;Midnight;Saturday;2023-02;2023-02
78;1/10/22;vadapav;Fastfood;20;4;80;Cash;Mrs.;Evening;Saturday;2022-10;2022-10
79;5/11/22;panipuri;Fastfood;20;6;120;Online;Mr.;Night;Saturday;2022-11;2022-11
80;24/5/22;frankie;Fastfood;50;13;650;Cash;Mr.;Evening;Tuesday;2022-05;2022-05
81;19/11/22;frankie;Fastfood;50;12;600;Online;Mrs.;Night;Saturday;2022-11;2022-11
82;17/7/22;frankie;Fastfood;50;3;150;Online;Mrs.;Evening;Sunday;2022-07;2022-07
83;13/11/22;frankie;Fastfood;50;11;550;Online;Mr.;Evening;Sunday;2022-11;2022-11
84;3/3/23;panipuri;Fastfood;20;13;260;Cash;Mr.;Midnight;Friday;2023-03;2023-03
85;19/8/22;aalopuri;Fastfood;20;3;60;Online;Mrs.;Night;Friday;2022-08;2022-08
86;9/3/23;aalopuri;Fastfood;20;15;300;Cash;Mr.;Morning;Thursday;2023-03;2023-03
87;29/5/22;aalopuri;Fastfood;20;8;160;Cash;Mr.;Night;Sunday;2022-05;2022-05
88;7/7/22;cold coffee;Beverages;40;10;400;Cash;Mr.;Evening;Thursday;2022-07;2022-07
89;23/12/22;aalopuri;Fastfood;20;14;280;Cash;Mr.;Evening;Friday;2022-12;2022-12
90;29/10/22;vadapav;Fastfood;20;15;300;Online;Mr.;Night;Saturday;2022-10;2022-10
91;22/3/23;cold coffee;Beverages;40;6;240;Online;Mrs.;Evening;Wednesday;2023-03;2023-03
92;13/5/22;aalopuri;Fastfood;20;15;300;Cash;Mr.;Afternoon;Friday;2022-05;2022-05
93;3/7/22;cold coffee;Beverages;40;2;80;Online;Mrs.;Midnight;Sunday;2022-07;2022-07
94;14/9/22;aalopuri;Fastfood;20;15;300;Cash;Mrs.;Night;Wednesday;2022-09;2022-09
95;12/5/22;sugarcane juice;Beverages;25;8;200;Online;Mr.;Night;Thursday;2022-05;2022-05
96;22/8/22;sandwich;Fastfood;60;15;900;Cash;Mr.;Morning;Monday;2022-08;2022-08
97;29/3/23;cold coffee;Beverages;40;13;520;Online;Mr.;Evening;Wednesday;2023-03;2023-03
98;24/12/22;vadapav;Fastfood;20;1;20;Online;Mr.;Morning;Saturday;2022-12;2022-12
99;11/9/22;sugarcane juice;Beverages;25;3;75;Cash;Mr.;Evening;Sunday;2022-09;2022-09
100;8/5/22;panipuri;Fastfood;20;11;220;Cash;Mr.;Morning;Sunday;2022-05;2022-05
101;26/3/23;vadapav;Fastfood;20;3;60;Online;Mrs.;Morning;Sunday;2023-03;2023-03
102;13/3/23;cold coffee;Beverages;40;14;560;Cash;Mr.;Morning;Monday;2023-03;2023-03
103;14/3/23;cold coffee;Beverages;40;8;320;Online;Mrs.;Midnight;Tuesday;2023-03;2023-03
104;27/10/22;cold coffee;Beverages;40;13;520;Online;Mr.;Morning;Thursday;2022-10;2022-10
105;25/1/23;panipuri;Fastfood;20;8;160;Cash;Mrs.;Evening;Wednesday;2023-01;2023-01
106;25/2/23;frankie;Fastfood;50;9;450;Cash;Mrs.;Evening;Saturday;2023-02;2023-02
107;7/2/23;sandwich;Fastfood;60;4;240;Online;Mr.;Afternoon;Tuesday;2023-02;2023-02
108;6/8/22;panipuri;Fastfood;20;5;100;Online;Mr.;Afternoon;Saturday;2022-08;2022-08
109;8/8/22;cold coffee;Beverages;40;12;480;Online;Mr.;Afternoon;Monday;2022-08;2022-08
110;16/11/22;panipuri;Fastfood;20;2;40;Online;Mrs.;Morning;Wednesday;2022-11;2022-11
111;4/9/22;sandwich;Fastfood;60;8;480;Cash;Mrs.;Midnight;Sunday;2022-09;2022-09
112;24/2/23;sandwich;Fastfood;60;7;420;Cash;Mr.;Morning;Friday;2023-02;2023-02
113;12/12/22;aalopuri;Fastfood;20;8;160;Cash;Mr.;Afternoon;Monday;2022-12;2022-12
114;14/8/22;aalopuri;Fastfood;20;10;200;Online;Mr.;Afternoon;Sunday;2022-08;2022-08
115;12/1/23;aalopuri;Fastfood;20;13;260;Online;Mr.;Evening;Thursday;2023-01;2023-01
116;26/8/22;sugarcane juice;Beverages;25;13;325;Cash;Mr.;Evening;Friday;2022-08;2022-08
117;9/3/23;frankie;Fastfood;50;7;350;Online;Mrs.;Evening;Thursday;2023-03;2023-03
118;6/7/22;sandwich;Fastfood;60;1;60;Online;Mr.;Midnight;Wednesday;2022-07;2022-07
119;12/5/22;panipuri;Fastfood;20;10;200;Cash;Mr.;Evening;Thursday;2022-05;2022-05
120;10/7/22;frankie;Fastfood;50;2;100;Cash;Mrs.;Evening;Sunday;2022-07;2022-07
121;26/8/22;cold coffee;Beverages;40;8;320;Cash;Mr.;Afternoon;Friday;2022-08;2022-08
122;24/4/22;panipuri;Fastfood;20;3;60;Cash;Mrs.;Night;Sunday;2022-04;2022-04
123;9/6/22;cold coffee;Beverages;40;6;240;Online;Mr.;Evening;Thursday;2022-06;2022-06
124;14/10/22;sugarcane juice;Beverages;25;13;325;Cash;Mrs.;Evening;Friday;2022-10;2022-10
125;10/4/22;vadapav;Fastfood;20;7;140;Cash;Mrs.;Midnight;Sunday;2022-04;2022-04
126;8/4/22;panipuri;Fastfood;20;11;220;Online;Mrs.;Night;Friday;2022-04;2022-04
127;3/12/22;aalopuri;Fastfood;20;1;20;Online;Mrs.;Morning;Saturday;2022-12;2022-12
128;7/8/22;vadapav;Fastfood;20;11;220;Online;Mr.;Midnight;Sunday;2022-08;2022-08
129;19/10/22;panipuri;Fastfood;20;13;260;Cash;Mrs.;Morning;Wednesday;2022-10;2022-10
130;28/12/22;sugarcane juice;Beverages;25;7;175;Cash;Mr.;Night;Wednesday;2022-12;2022-12
131;19/1/23;sandwich;Fastfood;60;8;480;Cash;Mr.;Night;Thursday;2023-01;2023-01
132;5/12/22;vadapav;Fastfood;20;4;80;Online;Mrs.;Night;Monday;2022-12;2022-12
133;20/12/22;aalopuri;Fastfood;20;5;100;Online;Mr.;Midnight;Tuesday;2022-12;2022-12
134;17/7/22;aalopuri;Fastfood;20;12;240;Online;Mrs.;Night;Sunday;2022-07;2022-07
135;14/1/23;aalopuri;Fastfood;20;8;160;Online;Mr.;Midnight;Saturday;2023-01;2023-01
136;24/8/22;aalopuri;Fastfood;20;15;300;Online;Mr.;Morning;Wednesday;2022-08;2022-08
137;19/3/23;sugarcane juice;Beverages;25;6;150;Cash;Mr.;Afternoon;Sunday;2023-03;2023-03
138;1/9/22;sandwich;Fastfood;60;15;900;Online;Mr.;Night;Thursday;2022-09;2022-09
139;26/2/23;frankie;Fastfood;50;11;550;Online;Mrs.;Night;Sunday;2023-02;2023-02
140;12/6/22;frankie;Fastfood;50;13;650;Cash;Mr.;Night;Sunday;2022-06;2022-06
141;15/6/22;aalopuri;Fastfood;20;4;80;Cash;Mr.;Evening;Wednesday;2022-06;2022-06
142;30/12/22;sugarcane juice;Beverages;25;12;300;Cash;Mrs.;Morning;Friday;2022-12;2022-12
143;18/9/22;frankie;Fastfood;50;8;400;Online;Mrs.;Afternoon;Sunday;2022-09;2022-09
144;17/11/22;panipuri;Fastfood;20;10;200;Cash;Mrs.;Evening;Thursday;2022-11;2022-11
145;9/10/22;sandwich;Fastfood;60;14;840;Online;Mr.;Morning;Sunday;2022-10;2022-10
146;28/10/22;frankie;Fastfood;50;4;200;Cash;Mrs.;Afternoon;Friday;2022-10;2022-10
147;17/5/22;panipuri;Fastfood;20;7;140;Online;Mr.;Evening;Tuesday;2022-05;2022-05
148;19/3/23;sandwich;Fastfood;60;13;780;Online;Mr.;Evening;Sunday;2023-03;2023-03
149;9/8/22;sandwich;Fastfood;60;7;420;Online;Mr.;Morning;Tuesday;2022-08;2022-08
150;30/1/23;cold coffee;Beverages;40;14;560;Cash;Mr.;Afternoon;Monday;2023-01;2023-01
151;10/7/22;frankie;Fastfood;50;13;650;Online;Mrs.;Morning;Sunday;2022-07;2022-07
152;24/10/22;cold coffee;Beverages;40;9;360;Online;Mr.;Afternoon;Monday;2022-10;2022-10
153;21/7/22;panipuri;Fastfood;20;1;20;Cash;Mrs.;Evening;Thursday;2022-07;2022-07
154;13/12/22;vadapav;Fastfood;20;3;60;Cash;Mr.;Night;Tuesday;2022-12;2022-12
155;7/2/23;sugarcane juice;Beverages;25;10;250;Cash;Mrs.;Evening;Tuesday;2023-02;2023-02
156;25/3/23;panipuri;Fastfood;20;14;280;Cash;Mr.;Midnight;Saturday;2023-03;2023-03
157;24/2/23;frankie;Fastfood;50;7;350;Online;Mrs.;Midnight;Friday;2023-02;2023-02
158;16/5/22;aalopuri;Fastfood;20;2;40;Online;Mr.;Midnight;Monday;2022-05;2022-05
159;3/10/22;sugarcane juice;Beverages;25;1;25;Online;Mrs.;Afternoon;Monday;2022-10;2022-10
160;23/7/22;vadapav;Fastfood;20;10;200;Online;Mr.;Night;Saturday;2022-07;2022-07
161;19/1/23;sugarcane juice;Beverages;25;12;300;Cash;Mr.;Evening;Thursday;2023-01;2023-01
162;7/5/22;aalopuri;Fastfood;20;11;220;Cash;Mr.;Midnight;Saturday;2022-05;2022-05
163;6/1/23;frankie;Fastfood;50;6;300;Online;Mrs.;Midnight;Friday;2023-01;2023-01
164;10/8/22;sugarcane juice;Beverages;25;7;175;Online;Mr.;Afternoon;Wednesday;2022-08;2022-08
165;5/1/23;sandwich;Fastfood;60;11;660;Cash;Mr.;Midnight;Thursday;2023-01;2023-01
166;1/6/22;panipuri;Fastfood;20;6;120;Cash;Mrs.;Evening;Wednesday;2022-06;2022-06
167;23/2/23;cold coffee;Beverages;40;6;240;Cash;Mrs.;Morning;Thursday;2023-02;2023-02
168;19/4/22;sandwich;Fastfood;60;4;240;Cash;Mrs.;Midnight;Tuesday;2022-04;2022-04
169;20/6/22;vadapav;Fastfood;20;6;120;Cash;Mr.;Morning;Monday;2022-06;2022-06
170;13/2/23;aalopuri;Fastfood;20;6;120;Cash;Mrs.;Afternoon;Monday;2023-02;2023-02
171;2/3/23;vadapav;Fastfood;20;11;220;Cash;Mrs.;Midnight;Thursday;2023-03;2023-03
172;27/8/22;sugarcane juice;Beverages;25;6;150;Online;Mrs.;Night;Saturday;2022-08;2022-08
173;20/1/23;cold coffee;Beverages;40;2;80;Online;Mr.;Night;Friday;2023-01;2023-01
174;3/9/22;aalopuri;Fastfood;20;2;40;Online;Mr.;Evening;Saturday;2022-09;2022-09
175;17/10/22;frankie;Fastfood;50;12;600;Cash;Mrs.;Afternoon;Monday;2022-10;2022-10
176;4/8/22;panipuri;Fastfood;20;1;20;Cash;Mrs.;Midnight;Thursday;2022-08;2022-08
177;21/7/22;panipuri;Fastfood;20;11;220;Online;Mrs.;Morning;Thursday;2022-07;2022-07
178;9/12/22;aalopuri;Fastfood;20;2;40;Cash;Mrs.;Morning;Friday;2022-12;2022-12
179;3/3/23;sugarcane juice;Beverages;25;5;125;Cash;Mrs.;Midnight;Friday;2023-03;2023-03
180;1/12/22;vadapav;Fastfood;20;6;120;Online;Mrs.;Afternoon;Thursday;2022-12;2022-12
181;9/6/22;cold coffee;Beverages;40;7;280;Cash;Mrs.;Night;Thursday;2022-06;2022-06
182;2/7/22;cold coffee;Beverages;40;1;40;Cash;Mr.;Midnight;Saturday;2022-07;2022-07
183;10/7/22;sugarcane juice;Beverages;25;5;125;Cash;Mrs.;Midnight;Sunday;2022-07;2022-07
184;3/1/23;cold coffee;Beverages;40;8;320;Cash;Mr.;Night;Tuesday;2023-01;2023-01
185;13/1/23;sugarcane juice;Beverages;25;15;375;Online;Mr.;Night;Friday;2023-01;2023-01
186;15/3/23;frankie;Fastfood;50;2;100;Online;Mr.;Afternoon;Wednesday;2023-03;2023-03
187;11/10/22;aalopuri;Fastfood;20;15;300;Cash;Mrs.;Morning;Tuesday;2022-10;2022-10
188;28/12/22;panipuri;Fastfood;20;14;280;Cash;Mrs.;Night;Wednesday;2022-12;2022-12
189;8/2/23;vadapav;Fastfood;20;12;240;Online;Mr.;Afternoon;Wednesday;2023-02;2023-02
190;26/4/22;cold coffee;Beverages;40;1;40;Online;Mr.;Evening;Tuesday;2022-04;2022-04
191;20/5/22;sugarcane juice;Beverages;25;14;350;Cash;Mrs.;Morning;Friday;2022-05;2022-05
192;26/10/22;vadapav;Fastfood;20;2;40;Online;Mr.;Night;Wednesday;2022-10;2022-10
193;5/2/23;cold coffee;Beverages;40;15;600;Online;Mrs.;Midnight;Sunday;2023-02;2023-02
194;15/12/22;vadapav;Fastfood;20;4;80;Cash;Mrs.;Morning;Thursday;2022-12;2022-12
195;23/4/22;sandwich;Fastfood;60;4;240;Cash;Mrs.;Night;Saturday;2022-04;2022-04
196;25/6/22;sandwich;Fastfood;60;3;180;Cash;Mr.;Evening;Saturday;2022-06;2022-06
197;8/11/22;panipuri;Fastfood;20;10;200;Cash;Mrs.;Midnight;Tuesday;2022-11;2022-11
198;5/1/23;frankie;Fastfood;50;15;750;Cash;Mr.;Morning;Thursday;2023-01;2023-01
199;1/2/23;frankie;Fastfood;50;6;300;Online;Mrs.;Morning;Wednesday;2023-02;2023-02
200;25/12/22;cold coffee;Beverages;40;10;400;Cash;Mrs.;Morning;Sunday;2022-12;2022-12
201;30/6/22;panipuri;Fastfood;20;8;160;Cash;Mr.;Morning;Thursday;2022-06;2022-06
202;21/9/22;aalopuri;Fastfood;20;9;180;Cash;Mr.;Afternoon;Wednesday;2022-09;2022-09
203;11/4/22;vadapav;Fastfood;20;6;120;Online;Mrs.;Midnight;Monday;2022-04;2022-04
204;24/10/22;cold coffee;Beverages;40;7;280;Cash;Mrs.;Evening;Monday;2022-10;2022-10
205;17/10/22;vadapav;Fastfood;20;4;80;Cash;Mr.;Afternoon;Monday;2022-10;2022-10
206;27/7/22;aalopuri;Fastfood;20;4;80;Cash;Mr.;Night;Wednesday;2022-07;2022-07
207;20/2/23;cold coffee;Beverages;40;8;320;Online;Mrs.;Evening;Monday;2023-02;2023-02
208;26/8/22;cold coffee;Beverages;40;13;520;Cash;Mrs.;Midnight;Friday;2022-08;2022-08
209;4/12/22;aalopuri;Fastfood;20;2;40;Cash;Mr.;Night;Sunday;2022-12;2022-12
210;2/1/23;sugarcane juice;Beverages;25;15;375;Online;Mr.;Night;Monday;2023-01;2023-01
211;18/4/22;aalopuri;Fastfood;20;12;240;Cash;Mr.;Morning;Monday;2022-04;2022-04
212;5/5/22;cold coffee;Beverages;40;12;480;Online;Mrs.;Morning;Thursday;2022-05;2022-05
213;29/9/22;vadapav;Fastfood;20;3;60;Online;Mrs.;Midnight;Thursday;2022-09;2022-09
214;3/12/22;sugarcane juice;Beverages;25;14;350;Online;Mr.;Evening;Saturday;2022-12;2022-12
215;10/12/22;sugarcane juice;Beverages;25;7;175;Online;Mrs.;Morning;Saturday;2022-12;2022-12
216;7/3/23;panipuri;Fastfood;20;9;180;Cash;Mrs.;Afternoon;Tuesday;2023-03;2023-03
217;23/3/23;cold coffee;Beverages;40;10;400;Cash;Mr.;Morning;Thursday;2023-03;2023-03
218;23/12/22;cold coffee;Beverages;40;13;520;Online;Mrs.;Midnight;Friday;2022-12;2022-12
219;1/10/22;aalopuri;Fastfood;20;9;180;Cash;Mrs.;Evening;Saturday;2022-10;2022-10
220;13/5/22;sugarcane juice;Beverages;25;1;25;Cash;Mr.;Afternoon;Friday;2022-05;2022-05
221;26/3/23;sandwich;Fastfood;60;1;60;Online;Mr.;Evening;Sunday;2023-03;2023-03
222;11/9/22;sandwich;Fastfood;60;6;360;Cash;Mrs.;Morning;Sunday;2022-09;2022-09
223;21/9/22;panipuri;Fastfood;20;13;260;Online;Mr.;Night;Wednesday;2022-09;2022-09
224;23/3/23;sugarcane juice;Beverages;25;14;350;Cash;Mr.;Afternoon;Thursday;2023-03;2023-03
225;16/3/23;frankie;Fastfood;50;11;550;Cash;Mrs.;Evening;Thursday;2023-03;2023-03
226;12/12/22;aalopuri;Fastfood;20;13;260;Online;Mrs.;Afternoon;Monday;2022-12;2022-12
227;17/11/22;cold coffee;Beverages;40;5;200;Cash;Mrs.;Afternoon;Thursday;2022-11;2022-11
228;5/11/22;panipuri;Fastfood;20;8;160;Online;Mr.;Night;Saturday;2022-11;2022-11
229;15/12/22;panipuri;Fastfood;20;7;140;Cash;Mr.;Evening;Thursday;2022-12;2022-12
230;16/4/22;frankie;Fastfood;50;6;300;Online;Mr.;Afternoon;Saturday;2022-04;2022-04
231;16/4/22;sugarcane juice;Beverages;25;3;75;Online;Mr.;Night;Saturday;2022-04;2022-04
232;23/4/22;vadapav;Fastfood;20;13;260;Cash;Mrs.;Night;Saturday;2022-04;2022-04
233;31/7/22;panipuri;Fastfood;20;5;100;Cash;Mr.;Morning;Sunday;2022-07;2022-07
234;27/7/22;panipuri;Fastfood;20;10;200;Cash;Mr.;Midnight;Wednesday;2022-07;2022-07
235;29/11/22;sandwich;Fastfood;60;10;600;Cash;Mrs.;Afternoon;Tuesday;2022-11;2022-11
236;26/6/22;vadapav;Fastfood;20;12;240;Cash;Mrs.;Evening;Sunday;2022-06;2022-06
237;8/11/22;panipuri;Fastfood;20;13;260;Cash;Mrs.;Midnight;Tuesday;2022-11;2022-11
238;26/4/22;vadapav;Fastfood;20;13;260;Cash;Mr.;Morning;Tuesday;2022-04;2022-04
239;4/12/22;frankie;Fastfood;50;4;200;Online;Mr.;Evening;Sunday;2022-12;2022-12
240;11/12/22;sandwich;Fastfood;60;10;600;Cash;Mrs.;Morning;Sunday;2022-12;2022-12
241;6/6/22;sugarcane juice;Beverages;25;2;50;Cash;Mr.;Afternoon;Monday;2022-06;2022-06
242;23/12/22;cold coffee;Beverages;40;4;160;Online;Mrs.;Midnight;Friday;2022-12;2022-12
243;12/11/22;panipuri;Fastfood;20;5;100;Cash;Mrs.;Midnight;Saturday;2022-11;2022-11
244;22/11/22;sandwich;Fastfood;60;10;600;Online;Mrs.;Midnight;Tuesday;2022-11;2022-11
245;3/10/22;vadapav;Fastfood;20;2;40;Cash;Mrs.;Morning;Monday;2022-10;2022-10
246;16/11/22;vadapav;Fastfood;20;10;200;Cash;Mr.;Afternoon;Wednesday;2022-11;2022-11
247;3/10/22;sugarcane juice;Beverages;25;6;150;Cash;Mr.;Midnight;Monday;2022-10;2022-10
248;17/4/22;frankie;Fastfood;50;5;250;Online;Mrs.;Midnight;Sunday;2022-04;2022-04
249;26/10/22;sugarcane juice;Beverages;25;3;75;Online;Mrs.;Afternoon;Wednesday;2022-10;2022-10
250;15/11/22;sugarcane juice;Beverages;25;6;150;Online;Mrs.;Midnight;Tuesday;2022-11;2022-11
251;21/12/22;cold coffee;Beverages;40;13;520;Online;Mrs.;Afternoon;Wednesday;2022-12;2022-12
252;26/3/23;vadapav;Fastfood;20;8;160;Online;Mr.;Midnight;Sunday;2023-03;2023-03
253;18/6/22;sugarcane juice;Beverages;25;13;325;Online;Mr.;Afternoon;Saturday;2022-06;2022-06
254;9/10/22;cold coffee;Beverages;40;12;480;Cash;Mrs.;Afternoon;Sunday;2022-10;2022-10
255;30/4/22;vadapav;Fastfood;20;7;140;Cash;Mrs.;Afternoon;Saturday;2022-04;2022-04
256;16/3/23;aalopuri;Fastfood;20;3;60;Online;Mrs.;Midnight;Thursday;2023-03;2023-03
257;3/1/23;sandwich;Fastfood;60;10;600;Cash;Mrs.;Midnight;Tuesday;2023-01;2023-01
258;6/9/22;vadapav;Fastfood;20;14;280;Cash;Mr.;Midnight;Tuesday;2022-09;2022-09
259;18/11/22;sandwich;Fastfood;60;4;240;Online;Mr.;Morning;Friday;2022-11;2022-11
